instrumento,simbolo,descripcion,mercado,panel,ultimoPrecio,apertura,cierreAnterior,variacionDiaria,volumen,maximo,minimo,rango52SemanasMin,rango52SemanasMax,fechaHoraCotizacion,mepCclImplicito,fuente
"cedears","NFLX","Cedear Netflix, Inc.","bcba",,"2885","2860","2885","0.61","0","2897.5","2840",,,"2026-04-24T19:59:52.847Z","1431.7618","/1/Titulos/NFLX/CotizacionDetalle"
"cedears","NFLXC","Cedear Netflix, Inc.","bcba",,"1.945","1.955","1.945","-0.76","0","1.955","1.955",,,"2026-04-24T19:41:42.283Z","1431.7618","/1/Titulos/NFLXC/CotizacionDetalle"
"cedears","NFLXD","Cedear Netflix, Inc.","bcba",,"2.015","2.035","2.015","0","0","2.07","1.99",,,"2026-04-24T19:57:09.530Z","1431.7618","/1/Titulos/NFLXD/CotizacionDetalle"
"cedears","NG","Cedear Novagold Resources Inc.","bcba",,"51500","51625","51500","-0.43","0","52500","51100",,,"2026-04-24T19:58:33.107Z","1144.9533","/1/Titulos/NG/CotizacionDetalle"
"cedears","NGD","Cedear Novagold Resources Inc.","bcba",,"44.98","44.98","44.98","0","0","44.98","44.98",,,"2026-04-24T04:00:59.180Z","1144.9533","/1/Titulos/NGD/CotizacionDetalle"
"cedears","NGG","Cedears De National Grid Plc","bcba",,"62200","63025","62200","0","0","63025","63025",,,"2026-04-24T04:00:25.063Z",,"/1/Titulos/NGG/CotizacionDetalle"
"cedears","NIO","Cedear Nio Inc.","bcba",,"2317","2285","2317","0.78","0","2328","2260",,,"2026-04-24T19:58:58.643Z","1434.6749","/1/Titulos/NIO/CotizacionDetalle"
"cedears","NIOC","Cedear Nio Inc.","bcba",,"1.54","1.54","1.54","-1.59","0","1.54","1.54",,,"2026-04-24T14:14:13.350Z","1434.6749","/1/Titulos/NIOC/CotizacionDetalle"
"cedears","NIOD","Cedear Nio Inc.","bcba",,"1.615","1.595","1.615","-0.61","0","1.64","1.55",,,"2026-04-24T19:40:27.040Z","1434.6749","/1/Titulos/NIOD/CotizacionDetalle"
"cedears","NKE","Cedear Nike Inc.","bcba",,"5570","5510","5570","1.08","0","5635","5510",,,"2026-04-24T19:59:50.037Z","1420.9184","/1/Titulos/NKE/CotizacionDetalle"
"cedears","NKEC","Cedear Nike Inc.","bcba",,"3.765","3.765","3.765","-1.69","0","3.765","3.765",,,"2026-04-24T16:45:36.967Z","1420.9184","/1/Titulos/NKEC/CotizacionDetalle"
"cedears","NKED","Cedear Nike Inc.","bcba",,"3.92","3.845","3.92","1.03","0","3.94","3.845",,,"2026-04-24T19:56:25.907Z","1420.9184","/1/Titulos/NKED/CotizacionDetalle"
"cedears","NMR","Cedear Nomura Holdings Inc","bcba",,"11790","11620","11790","-6.13","0","11760","11580",,,"2026-04-24T19:51:20.273Z",,"/1/Titulos/NMR/CotizacionDetalle"
"cedears","NOKA","Cedear Nokia Corporation","bcba",,"15650","15500","15650","3.16","0","15840","15440",,,"2026-04-24T19:56:13.473Z",,"/1/Titulos/NOKA/CotizacionDetalle"
"cedears","NOW","Cedear Servicenow Inc","bcba",,"789","756","789","7.42","0","791.5","737",,,"2026-04-24T19:59:28.510Z","1461.1111","/1/Titulos/NOW/CotizacionDetalle"
"cedears","NOWD","Cedear Servicenow Inc","bcba",,"0.54","0.51","0.54","3.84","0","0.549","0.51",,,"2026-04-24T19:53:52.687Z","1461.1111","/1/Titulos/NOWD/CotizacionDetalle"
"cedears","NTES","Cedear Netease, Inc.","bcba",,"11780","11660","11780","1.55","0","11830","11610",,,"2026-04-24T19:59:49.020Z","1346.2857","/1/Titulos/NTES/CotizacionDetalle"
"cedears","NTESD","Cedear Netease, Inc.","bcba",,"8.75","8.9","8.75","0","0","0","0",,,"2026-04-24T04:00:50.797Z","1346.2857","/1/Titulos/NTESD/CotizacionDetalle"
"cedears","NU","Cedear Nu Holdings Ltd/Cayman","bcba",,"10870","10730","10870","1.77","0","10890","10550",,,"2026-04-24T19:59:59.893Z","1437.8307","/1/Titulos/NU/CotizacionDetalle"
"cedears","NUC","Cedear Nu Holdings Ltd/Cayman","bcba",,"7.32","7.33","7.32","0.27","0","7.35","7.23",,,"2026-04-24T19:45:37.910Z","1437.8307","/1/Titulos/NUC/CotizacionDetalle"
"cedears","NUD","Cedear Nu Holdings Ltd/Cayman","bcba",,"7.56","7.47","7.56","0.53","0","7.57","7.4",,,"2026-04-24T19:57:54.927Z","1437.8307","/1/Titulos/NUD/CotizacionDetalle"
"cedears","NUE","Cedear Nucor Corporation","bcba",,"20000","19590","20000","2.14","0","20030","19590",,,"2026-04-24T19:49:04.113Z",,"/1/Titulos/NUE/CotizacionDetalle"
"cedears","NVDA","Cedear Nvidia Corporation","bcba",,"12960","12370","12960","5.62","0","13090","12300",,,"2026-04-24T20:06:30.760Z","1441.6018","/1/Titulos/NVDA/CotizacionDetalle"
"cedears","NVDAC","Cedear Nvidia Corporation","bcba",,"8.69","8.36","8.69","4.57","0","8.8","8.36",,,"2026-04-24T18:43:05.050Z","1441.6018","/1/Titulos/NVDAC/CotizacionDetalle"
"cedears","NVDAD","Cedear Nvidia Corporation","bcba",,"8.99","8.66","8.99","4.41","0","9.12","8.66",,,"2026-04-24T19:59:49.327Z","1441.6018","/1/Titulos/NVDAD/CotizacionDetalle"
"cedears","NVS","Cedear Novartis Ag-Adr","bcba",,"54375","54000","54375","-0.13","0","54225","53700",,,"2026-04-24T19:47:47.603Z","1395.3041","/1/Titulos/NVS/CotizacionDetalle"
"cedears","NVSD","Cedear Novartis Ag-Adr","bcba",,"38.97","39.08","38.97","0","0","0","0",,,"2026-04-24T04:00:19.223Z","1395.3041","/1/Titulos/NVSD/CotizacionDetalle"
"cedears","NXE","Cedear Nexgen Energy","bcba",,"18450","18600","18450","-1.33","0","18750","18000",,,"2026-04-24T19:46:22.440Z","1397.7273","/1/Titulos/NXE/CotizacionDetalle"
"cedears","NXED","Cedear Nexgen Energy","bcba",,"13.2","13.2","13.2","0","0","13.2","13.2",,,"2026-04-24T04:00:50.797Z","1397.7273","/1/Titulos/NXED/CotizacionDetalle"
"cedears","OKLO","CEDEAR OKLO INC.","bcba",,"3772.5","4225","3772.5","-5.09","0","4275","3772.5",,,"2026-04-24T19:59:57.943Z","1448.1766","/1/Titulos/OKLO/CotizacionDetalle"
"cedears","OKLOD","Cedear Oklo Inc.","bcba",,"2.605","2.98","2.605","-6.96","0","2.98","2.65",,,"2026-04-24T19:58:05.747Z","1448.1766","/1/Titulos/OKLOD/CotizacionDetalle"
"cedears","ORCL","Cedear Oracle Corporation","bcba",,"86375","89025","86375","-0.57","0","89025","83875",,,"2026-04-24T19:59:50.580Z","1432.4212","/1/Titulos/ORCL/CotizacionDetalle"
"cedears","ORCLC","Cedear Oracle Corporation","bcba",,"62.3","57.1","62.3","0","0","0","0",,,"2026-04-24T04:00:50.987Z","1432.4212","/1/Titulos/ORCLC/CotizacionDetalle"
"cedears","ORCLD","Cedear Oracle Corporation","bcba",,"60.3","63","60.3","-3.52","0","63","58.8",,,"2026-04-24T19:58:35.653Z","1432.4212","/1/Titulos/ORCLD/CotizacionDetalle"
"cedears","ORLY","Cedear O'reilly Automotive Inc","bcba",,"633.5","625","633.5","1.36","0","634.5","603.5",,,"2026-04-24T19:56:39.437Z","1473.2558","/1/Titulos/ORLY/CotizacionDetalle"
"cedears","ORLYC","Cedear O'reilly Automotive Inc","bcba",,"0.423","0.415","0.423","1.92","0","0","0",,,"2026-04-08T14:43:05.070Z","1473.2558","/1/Titulos/ORLYC/CotizacionDetalle"
"cedears","ORLYD","Cedear O'reilly Automotive Inc","bcba",,"0.43","0.449","0.43","-4.23","0","0","0",,,"2026-04-24T19:42:33.710Z","1473.2558","/1/Titulos/ORLYD/CotizacionDetalle"
"cedears","OXY","Cedear Occidental Petroleum Corporation","bcba",,"17050","17120","17050","-0.23","0","17120","16810",,,"2026-04-24T19:59:43.770Z","1433.9781","/1/Titulos/OXY/CotizacionDetalle"
"cedears","OXYC","Cedear Occidental Petroleum Corp","bcba",,"12.63","12.63","12.63","0","0","0","0",,,"2026-04-24T04:00:38.127Z","1433.9781","/1/Titulos/OXYC/CotizacionDetalle"
"cedears","OXYD","Cedear Occidental Petroleum Corp","bcba",,"11.89","12.03","11.89","-1.16","0","12.03","11.71",,,"2026-04-24T19:58:54.047Z","1433.9781","/1/Titulos/OXYD/CotizacionDetalle"
"cedears","PAAS","Cedear Pan American Silver Cor","bcba",,"27940","27260","27940","2.72","0","27980","27080",,,"2026-04-24T19:58:46.017Z","1444.6743","/1/Titulos/PAAS/CotizacionDetalle"
"cedears","PAASC","Cedear Pan American Silver Corp","bcba",,"18.4","18.4","18.4","0","0","0","0",,,"2026-04-24T04:00:20.690Z","1444.6743","/1/Titulos/PAASC/CotizacionDetalle"
"cedears","PAASD","Cedear Pan American Silver Corp","bcba",,"19.34","18.98","19.34","1.46","0","19.45","18.77",,,"2026-04-24T18:44:25.360Z","1444.6743","/1/Titulos/PAASD/CotizacionDetalle"
"cedears","PAC","Cedear Grupo Aeroportuario Del","bcba",,"24990","24750","24990","3.77","0","25140","24750",,,"2026-04-24T19:56:15.770Z",,"/1/Titulos/PAC/CotizacionDetalle"
"cedears","PAGS","Cedear Pagseguro Digital Ltd","bcba",,"5105","5035","5105","1.49","0","5145","4945",,,"2026-04-24T19:57:52.217Z","1444.1301","/1/Titulos/PAGS/CotizacionDetalle"
"cedears","PAGSD","Cedear Pagseguro Digital Ltd","bcba",,"3.535","3.5","3.535","0.14","0","3.585","3.5",,,"2026-04-24T19:52:46.733Z","1444.1301","/1/Titulos/PAGSD/CotizacionDetalle"
"cedears","PANW","Cedear Palo Alto Networks Inc.","bcba",,"5335","5100","5335","4.81","0","5365","5100",,,"2026-04-24T19:59:54.467Z","1434.1398","/1/Titulos/PANW/CotizacionDetalle"
"cedears","PANWC","Cedear Palo Alto Networks Inc.","bcba",,"3.255","3.255","3.255","0","0","0","0",,,"2026-04-24T04:00:38.173Z","1434.1398","/1/Titulos/PANWC/CotizacionDetalle"
"cedears","PANWD","Cedear Palo Alto Networks Inc.","bcba",,"3.72","3.605","3.72","4.34","0","3.735","3.605",,,"2026-04-24T18:13:40.590Z","1434.1398","/1/Titulos/PANWD/CotizacionDetalle"
"cedears","PATH","Cedear Uipath Inc","bcba",,"7745","7455","7745","4.3","0","7740","7360",,,"2026-04-24T19:58:03.837Z","1469.6395","/1/Titulos/PATH/CotizacionDetalle"
"cedears","PATHC","Cedear Uipath Inc","bcba",,"6.5","0","6.5","0","0","0","0",,,"2026-02-02T16:56:22.083Z","1469.6395","/1/Titulos/PATHC/CotizacionDetalle"
"cedears","PATHD","Cedear Uipath Inc","bcba",,"5.27","5.6","5.27","-5.89","0","0","0",,,"2026-04-24T17:14:03.393Z","1469.6395","/1/Titulos/PATHD/CotizacionDetalle"
"cedears","PBI","Cedear Pitney Bowes Inc.","bcba",,"23280","22990","23280","3","0","23320","22780",,,"2026-04-24T19:49:30.253Z",,"/1/Titulos/PBI/CotizacionDetalle"
"cedears","PBR","Cedear Petroleo Brasileiro S.A","bcba",,"31200","31040","31200","1.17","0","31180","30460",,,"2026-04-24T19:59:55.320Z","1449.8141","/1/Titulos/PBR/CotizacionDetalle"
"cedears","PBRC","Cedear Petroleo Brasileiro S.A","bcba",,"20.55","20.9327","20.55","-1.82","0","0","0",,,"2026-04-24T17:42:07.560Z","1449.8141","/1/Titulos/PBRC/CotizacionDetalle"
"cedears","PBRD","Cedear Petroleo Brasileiro S.A","bcba",,"21.52","21.61","21.52","-0.41","0","21.63","21.24",,,"2026-04-24T19:54:24.233Z","1449.8141","/1/Titulos/PBRD/CotizacionDetalle"
"cedears","PCAR","Cedear Paccar Inc.","bcba",,"63225","61975","63225","1.11","0","63275","61925",,,"2026-04-24T19:56:15.123Z","1420.7865","/1/Titulos/PCAR/CotizacionDetalle"
"cedears","PCARD","Cedear Paccar Inc.","bcba",,"44.5","43.18","44.5","0","0","0","0",,,"2026-04-24T04:00:59.970Z","1420.7865","/1/Titulos/PCARD/CotizacionDetalle"
"cedears","PDD","Cedear Pdd Holdings Inc","bcba",,"5875","5795","5875","1.9","0","5875","5755",,,"2026-04-24T19:56:17.050Z",,"/1/Titulos/PDD/CotizacionDetalle"
"cedears","PDDC","Cedear Pdd Holdings Inc","bcba",,"3.97","4.17","3.97","-4.79","0","0","0",,,"2026-04-23T16:53:00.493Z",,"/1/Titulos/PDDC/CotizacionDetalle"
"cedears","PDDD","Cedear Pdd Holdings Inc","bcba",,"4.065","4.07","4.065","0","0","4.07","4.065",,,"2026-04-24T17:21:13.600Z",,"/1/Titulos/PDDD/CotizacionDetalle"
"cedears","PEP","Cedear Pepsico Inc.","bcba",,"12940","12710","12940","1.33","0","12940","12710",,,"2026-04-24T19:56:18.987Z","1442.5864","/1/Titulos/PEP/CotizacionDetalle"
"cedears","PEPC","Cedear Pepsico Inc.","bcba",,"8.62","8.8","8.62","-2.04","0","0","0",,,"2026-04-24T15:58:32.790Z","1442.5864","/1/Titulos/PEPC/CotizacionDetalle"
"cedears","PEPD","Cedear Pepsico Inc.","bcba",,"8.97","9.03","8.97","-1.1","0","9.15","8.96",,,"2026-04-24T19:42:30.700Z","1442.5864","/1/Titulos/PEPD/CotizacionDetalle"
"cedears","PETR3","Cedear Petroleo Brasileiro S.A","bcba",,"15400","15540","15400","0.2","0","15550","14570",,,"2026-04-24T19:57:31.557Z",,"/1/Titulos/PETR3/CotizacionDetalle"
"cedears","PETRC","Cedear Petroleo Brasileiro S.A","bcba",,"6.16","6.16","6.16","0","0","6.16","6.16",,,"2026-04-24T04:00:48.917Z",,"/1/Titulos/PETRC/CotizacionDetalle"
"cedears","PETRD","Cedear Petroleo Brasileiro S.A","bcba",,"11.19","10.8595","11.19","3.04","0","0","0",,,"2026-04-24T13:52:28.063Z",,"/1/Titulos/PETRD/CotizacionDetalle"
"cedears","PFE","Cedear Pfizer Inc.","bcba",,"10060","9850","10060","2.75","0","10150","9840",,,"2026-04-24T19:59:57.963Z","1428.9773","/1/Titulos/PFE/CotizacionDetalle"
"cedears","PFEC","Cedear Pfizer Inc.","bcba",,"6.63","6.63","6.63","0","0","0","0",,,"2026-04-24T04:01:00.087Z","1428.9773","/1/Titulos/PFEC/CotizacionDetalle"
"cedears","PFED","Cedear Pfizer Inc.","bcba",,"7.04","6.89","7.04","1.29","0","7.05","6.89",,,"2026-04-24T19:11:20.140Z","1428.9773","/1/Titulos/PFED/CotizacionDetalle"
"cedears","PG","Cedear Procter & Gamble","bcba",,"14790","14880","14790","3.55","0","14930","14730",,,"2026-04-24T19:59:46.373Z","1450","/1/Titulos/PG/CotizacionDetalle"
"cedears","PGC","Cedear Procter & Gamble","bcba",,"9.94","10.03","9.94","1.66","0","10.03","10.03",,,"2026-04-24T18:49:45.843Z","1450","/1/Titulos/PGC/CotizacionDetalle"
"cedears","PGD","Cedear Procter & Gamble","bcba",,"10.2","10.25","10.2","0.44","0","10.45","10.04",,,"2026-04-24T19:56:00.410Z","1450","/1/Titulos/PGD/CotizacionDetalle"
"cedears","PHG","Cedear Royal Philips Electronics","bcba",,"8220","8085","8220","0.06","0","8165","8085",,,"2026-04-24T18:34:29.570Z",,"/1/Titulos/PHG/CotizacionDetalle"
"cedears","PINS","Cedear Pinterest Inc.","bcba",,"4230","4157.5","4230","3.54","0","4230","4132.5",,,"2026-04-24T19:54:01.393Z","1461.1399","/1/Titulos/PINS/CotizacionDetalle"
"cedears","PINSD","Cedear Pinterest Inc.","bcba",,"2.895","2.86","2.895","0.87","0","2.86","2.86",,,"2026-04-24T18:36:53.977Z","1461.1399","/1/Titulos/PINSD/CotizacionDetalle"
"cedears","PKS","Cedear Posco","bcba",,"35100","34700","35100","4.21","0","35120","34200",,,"2026-04-24T19:44:34.630Z",,"/1/Titulos/PKS/CotizacionDetalle"
"cedears","PLTR","Cedear Palantir Technologies Inc","bcba",,"71250","69500","71250","2.22","0","71500","68975",,,"2026-04-24T19:59:41.723Z","1425","/1/Titulos/PLTR/CotizacionDetalle"
"cedears","PLTRC","Cedear Palantir Technologies Inc","bcba",,"49.22","49.1","49.22","0","0","0","0",,,"2026-04-24T04:00:43.787Z","1425","/1/Titulos/PLTRC/CotizacionDetalle"
"cedears","PLTRD","Cedear Palantir Technologies Inc","bcba",,"50","48.9","50","2.22","0","50.2","48.17",,,"2026-04-24T19:50:09.580Z","1425","/1/Titulos/PLTRD/CotizacionDetalle"
"cedears","PM","Cedear Philip Morris International","bcba",,"13600","13860","13600","-2.85","0","14060","13500",,,"2026-04-24T19:58:09.857Z","1415.1925","/1/Titulos/PM/CotizacionDetalle"
"cedears","PMD","Cedear Philip Morris Internati","bcba",,"9.61","9.38","9.61","-2.63","0","9.81","9.38",,,"2026-04-24T19:10:17.417Z","1415.1925","/1/Titulos/PMD/CotizacionDetalle"
"cedears","PRIO3","Cedear Petro Rio S.A.","bcba",,"9215","9250","9215","-0.05","0","9280","9230",,,"2026-04-24T19:48:52.953Z",,"/1/Titulos/PRIO3/CotizacionDetalle"
"cedears","PSQ","Cedear Etf Proshares Short Qqq","bcba",,"5255","5250","5255","-0.75","0","5275","5220",,,"2026-04-24T19:59:36.640Z","1422.1922","/1/Titulos/PSQ/CotizacionDetalle"
"cedears","PSQC","Cedear Etf Proshares Short Qqq","bcba",,"4.1","0","4.1","0","0","0","0",,,"2026-02-11T19:00:25.190Z","1422.1922","/1/Titulos/PSQC/CotizacionDetalle"
"cedears","PSQD","Cedear Etf Proshares Short Qqq","bcba",,"3.695","3.67","3.695","-0.67","0","3.67","3.67",,,"2026-04-24T15:25:31.520Z","1422.1922","/1/Titulos/PSQD/CotizacionDetalle"
"cedears","PSX","Cedear Phillips 66","bcba",,"40600","40100","40600","3.25","0","40420","39940",,,"2026-04-24T19:57:24.807Z","1478.5142","/1/Titulos/PSX/CotizacionDetalle"
"cedears","PSXD","Cedear Phillips 66","bcba",,"27.46","27.92","27.46","0","0","0","0",,,"2026-04-24T04:00:20.777Z","1478.5142","/1/Titulos/PSXD/CotizacionDetalle"
"cedears","PYPL","Cedear Paypal Holdings, Inc","bcba",,"9425","9190","9425","2.55","0","9440","9180",,,"2026-04-24T19:57:48.753Z","1443.3384","/1/Titulos/PYPL/CotizacionDetalle"
"cedears","PYPLC","Cedear Paypal Holdings, Inc","bcba",,"6.51","6.39","6.51","0","0","0","0",,,"2026-04-24T04:00:43.963Z","1443.3384","/1/Titulos/PYPLC/CotizacionDetalle"
"cedears","PYPLD","Cedear Paypal Holdings, Inc","bcba",,"6.53","6.5","6.53","1.24","0","6.53","6.44",,,"2026-04-24T19:34:04.773Z","1443.3384","/1/Titulos/PYPLD/CotizacionDetalle"
"cedears","QCOM","Cedear Qualcom Incorporated","bcba",,"20220","19060","20220","12.52","0","20450","19060",,,"2026-04-24T19:59:31.530Z","1434.0426","/1/Titulos/QCOM/CotizacionDetalle"
"cedears","QCOMC","Cedear Qualcom Incorporated","bcba",,"12","12.39","12","-3.14","0","0","0",,,"2026-04-24T18:05:03.237Z","1434.0426","/1/Titulos/QCOMC/CotizacionDetalle"
"cedears","QCOMD","Cedear Qualcom Incorporated","bcba",,"14.1","13.64","14.1","9.55","0","14.4","13.26",,,"2026-04-24T19:57:20.877Z","1434.0426","/1/Titulos/QCOMD/CotizacionDetalle"
"cedears","QQQ","Cedear Invesco Qqq Trust","bcba",,"49700","48700","49700","3.32","0","49760","48500",,,"2026-04-24T19:59:57.933Z","1437.247","/1/Titulos/QQQ/CotizacionDetalle"
"cedears","QQQC","Cedear Invesco Qqq Trust","bcba",,"33.5","32.83","33.5","2.47","0","33.5","32.83",,,"2026-04-24T19:52:13.160Z","1437.247","/1/Titulos/QQQC/CotizacionDetalle"
"cedears","QQQD","Cedear Invesco Qqq Trust","bcba",,"34.58","34.51","34.58","1.7","0","34.58","33.78",,,"2026-04-24T19:58:02.507Z","1437.247","/1/Titulos/QQQD/CotizacionDetalle"
"cedears","RACE","Cedear Ferrari Nv","bcba",,"6350","6250","6350","0.15","0","6360","6245",,,"2026-04-24T19:49:02.020Z","1423.7668","/1/Titulos/RACE/CotizacionDetalle"
"cedears","RACEC","Cedear Ferrari Nv","bcba",,"4.32","4.23","4.32","0","0","0","0",,,"2026-04-24T04:01:12.820Z","1423.7668","/1/Titulos/RACEC/CotizacionDetalle"
"cedears","RACED","Cedear Ferrari Nv","bcba",,"4.46","4.4","4.46","-0.88","0","4.46","4.4",,,"2026-04-24T19:46:10.770Z","1423.7668","/1/Titulos/RACED/CotizacionDetalle"
"cedears","RBLX","Cedear Roblox Corp.","bcba",,"41880","40300","41880","2.24","0","42000","39120",,,"2026-04-24T19:59:05.343Z","1422.0713","/1/Titulos/RBLX/CotizacionDetalle"
"cedears","RBLXD","Cedear Roblox Corp.","bcba",,"29.45","27.5","29.45","1.9","0","28.93","26.5",,,"2026-04-24T19:40:39.863Z","1422.0713","/1/Titulos/RBLXD/CotizacionDetalle"
"cedears","RENT3","Cedear Localiza Rent A Car S.A","bcba",,"7280","7335","7280","-2.21","0","7335","7195",,,"2026-04-24T18:57:43.010Z",,"/1/Titulos/RENT3/CotizacionDetalle"
"cedears","RGTI","Cedear Rigetti Computing","bcba",,"12420","12560","12420","0.16","0","12620","12000",,,"2026-04-24T19:59:42.963Z","1444.186","/1/Titulos/RGTI/CotizacionDetalle"
"cedears","RGTIC","Cedear Rigetti Computing","bcba",,"9.86","7.32","9.86","34.69","0","0","0",,,"2026-04-17T18:58:27.720Z","1444.186","/1/Titulos/RGTIC/CotizacionDetalle"
"cedears","RGTID","Cedear Rigetti Computing","bcba",,"8.6","8.85","8.6","-1.26","0","8.85","8.4",,,"2026-04-24T19:44:58.023Z","1444.186","/1/Titulos/RGTID/CotizacionDetalle"
"cedears","RIO","Cedear Rio Tinto Plc Adr","bcba",,"18640","18230","18640","2.08","0","18680","18230",,,"2026-04-24T19:57:48.737Z","1443.842","/1/Titulos/RIO/CotizacionDetalle"
"cedears","RIOD","Cedear Rio Tinto Plc - Adr","bcba",,"12.91","12.8","12.91","0.85","0","13.01","12.8",,,"2026-04-24T19:50:18.033Z","1443.842","/1/Titulos/RIOD/CotizacionDetalle"
"cedears","RIOT","Cedear Riot Platforms Inc.","bcba",,"9285","9225","9285","4.44","0","9405","9085",,,"2026-04-24T19:59:47.753Z","1432.8704","/1/Titulos/RIOT/CotizacionDetalle"
"cedears","RIOTC","Cedear Riot Platforms Inc.","bcba",,"6.22","5.99","6.22","3.83","0","0","0",,,"2026-04-24T16:02:17.130Z","1432.8704","/1/Titulos/RIOTC/CotizacionDetalle"
"cedears","RIOTD","Cedear Riot Platforms Inc.","bcba",,"6.48","6.5","6.48","2.69","0","6.5","6.36",,,"2026-04-24T19:46:10.133Z","1432.8704","/1/Titulos/RIOTD/CotizacionDetalle"
"cedears","RKLB","CEDEAR ROCKET LAB CORP.","bcba",,"10000","10490","10000","-3.19","0","10640","9855",,,"2026-04-24T19:59:45.123Z","1447.178","/1/Titulos/RKLB/CotizacionDetalle"
"cedears","RKLBD","Cedear Rocket Lab Corp.","bcba",,"6.91","7.19","6.91","-3.35","0","7.19","6.61",,,"2026-04-24T19:59:18.333Z","1447.178","/1/Titulos/RKLBD/CotizacionDetalle"
"cedears","ROKU","Cedear Roku Inc.","bcba",,"13300","13230","13300","1.44","0","13230","12950",,,"2026-04-24T19:31:43.343Z","1466.3727","/1/Titulos/ROKU/CotizacionDetalle"
"cedears","ROKUD","Cedear Roku Inc.","bcba",,"9.07","9.07","9.07","0","0","0","0",,,"2026-04-24T04:01:07.603Z","1466.3727","/1/Titulos/ROKUD/CotizacionDetalle"
"cedears","ROST","Cedear Ross Stores, Inc.","bcba",,"84800","84475","84800","1.34","0","84475","84350",,,"2026-04-24T19:56:16.903Z","1430.0169","/1/Titulos/ROST/CotizacionDetalle"
"cedears","ROSTD","Cedear Ross Stores, Inc.","bcba",,"59.3","56.4","59.3","5.14","0","0","0",,,"2026-04-24T17:32:18.980Z","1430.0169","/1/Titulos/ROSTD/CotizacionDetalle"
"cedears","RSP","CEDEAR INVESCO S&P 500 EQUAL WEIGHT ETF","bcba",,"10090","10020","10090","1.1","0","10090","9995",,,"2026-04-24T19:55:01.130Z","1429.1785","/1/Titulos/RSP/CotizacionDetalle"
"cedears","RSPC","Cedear Invesco S&P 500 Equal Weight Etf","bcba",,"7.1","7.1","7.1","0","0","7.1","7.1",,,"2026-04-24T04:00:18.420Z","1429.1785","/1/Titulos/RSPC/CotizacionDetalle"
"cedears","RSPD","Cedear Invesco S&P 500 Equal Weight Etf","bcba",,"7.06","7.14","7.06","0","0","7.14","6.83",,,"2026-04-24T19:45:23.687Z","1429.1785","/1/Titulos/RSPD/CotizacionDetalle"
"cedears","RTX","Cedear Rtx Corporation","bcba",,"52250","52100","52250","-1.32","0","52275","51125",,,"2026-04-24T19:57:57.697Z","1421.7687","/1/Titulos/RTX/CotizacionDetalle"
"cedears","RTXD","Cedear Rtx Corporation","bcba",,"36.75","37.11","36.75","-1.07","0","37.11","35",,,"2026-04-24T19:43:47.437Z","1421.7687","/1/Titulos/RTXD/CotizacionDetalle"
"cedears","SAN","Cedear Banco Santander S.A.","bcba",,"71225","70500","71225","1.42","0","71225","70500",,,"2026-04-24T19:42:04.837Z","1404.8323","/1/Titulos/SAN/CotizacionDetalle"
"cedears","SAND","Cedear Banco Santander S.A.","bcba",,"50.7","51.7","50.7","0","0","0","0",,,"2026-04-24T04:00:59.783Z","1404.8323","/1/Titulos/SAND/CotizacionDetalle"
"cedears","SAP","Cedear Sap Se","bcba",,"43700","43120","43700","8.49","0","43840","42660",,,"2026-04-24T19:55:36.233Z","1420.6762","/1/Titulos/SAP/CotizacionDetalle"
"cedears","SAPD","Cedear Sap Se","bcba",,"30.76","29.13","30.76","7.4","0","30.76","29.13",,,"2026-04-24T19:49:32.113Z","1420.6762","/1/Titulos/SAPD/CotizacionDetalle"
"cedears","SATL","Cedear Satellogic Inc.","bcba",,"9260","10350","9260","-7.67","0","10370","9030",,,"2026-04-24T19:59:54.540Z","1424.6154","/1/Titulos/SATL/CotizacionDetalle"
"cedears","SATLC","Cedear Satellogic Inc.","bcba",,"7.07","7.1","7.07","0","0","0","0",,,"2026-04-24T04:00:21.670Z","1424.6154","/1/Titulos/SATLC/CotizacionDetalle"
"cedears","SATLD","Cedear Satellogic Inc.","bcba",,"6.5","7.15","6.5","-7.8","0","7.15","6.3",,,"2026-04-24T19:59:50.443Z","1424.6154","/1/Titulos/SATLD/CotizacionDetalle"
"cedears","SBS","Cedear Cia Sabesp","bcba",,"103350","103000","103350","0.33","0","0","0",,,"2026-04-24T18:20:57.093Z",,"/1/Titulos/SBS/CotizacionDetalle"
"cedears","SBSP3","Cedear Cia De Saneamiento Basi","bcba",,"51650","51575","51650","3.79","0","51575","51575",,,"2026-04-24T16:54:17.103Z",,"/1/Titulos/SBSP3/CotizacionDetalle"
"cedears","SBUX","Cedear Starbucks Corporation","bcba",,"12310","12160","12310","0.4","0","12350","12120",,,"2026-04-24T19:56:48.750Z","1434.7319","/1/Titulos/SBUX/CotizacionDetalle"
"cedears","SBUXC","Cedear Starbucks Corporation","bcba",,"7.94","7.97","7.94","0","0","0","0",,,"2026-04-24T04:00:51.767Z","1434.7319","/1/Titulos/SBUXC/CotizacionDetalle"
"cedears","SBUXD","Cedear Starbucks Corporation","bcba",,"8.58","8.45","8.58","-0.46","0","8.48","8.44",,,"2026-04-24T19:01:07.433Z","1434.7319","/1/Titulos/SBUXD/CotizacionDetalle"
"cedears","SCCO","Cedear Southern Copper Corp.","bcba",,"135125","135000","135125","0.37","0","136625","134625",,,"2026-04-24T19:56:14.450Z",,"/1/Titulos/SCCO/CotizacionDetalle"
